File,Sketch,Time-naive,Size-naive
f:08-nw:200-ml:10-0.trace,"->(?1,U(p,q))",900,
f:09-nw:025-ml:10-0.trace,"?u1(->(q,?u1(p)))",1.71,5
f:05-nw:050-ml:14-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",15.84,8
f:07-nw:025-ml:14-0.trace,G(?1),900,
f:02-nw:025-ml:06-0.trace,"->(?1,U(!(p),q))",900,
f:05-nw:200-ml:10-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",32.2,8
f:03-nw:400-ml:14-0.trace,"G(->(q,?1))",900,
f:01-nw:010-ml:06-0.trace,G(!(?1)),900,
f:02-nw:100-ml:14-0.trace,"?b1(F(q),?b2(!(p),q))",25.95,6
f:06-nw:400-ml:06-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",900,
f:07-nw:100-ml:06-0.trace,?u1(p),1.66,2
f:04-nw:010-ml:14-0.trace,F(?1),900,
f:08-nw:050-ml:14-0.trace,"->(?1,U(p,q))",900,
f:01-nw:100-ml:10-0.trace,?u1(!(p)),3.76,3
f:07-nw:010-ml:10-0.trace,G(?1),900,
f:03-nw:200-ml:06-0.trace,"?u1(->(q,?u1(!(p))))",8.09,6
f:04-nw:025-ml:10-0.trace,F(?1),900,
f:06-nw:200-ml:14-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",57.64,9
f:08-nw:010-ml:06-0.trace,"?b1(F(q),?b2(p,q))",0.8,5
f:02-nw:050-ml:10-0.trace,"?b1(F(q),?b2(!(p),q))",6.33,6
f:04-nw:050-ml:06-0.trace,?u1(p),0.89,2
f:09-nw:400-ml:10-0.trace,"?u1(->(q,?u1(p)))",29.25,5
f:08-nw:100-ml:10-0.trace,"->(?1,U(p,q))",900,
f:01-nw:050-ml:14-0.trace,?u1(!(p)),3.34,3
f:01-nw:200-ml:10-0.trace,?u1(!(p)),7.92,3
f:06-nw:025-ml:06-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",900,
f:03-nw:025-ml:14-0.trace,"G(->(q,?1))",900,
f:03-nw:100-ml:06-0.trace,"?u1(->(q,?u1(!(p))))",3.93,6
f:02-nw:400-ml:06-0.trace,"->(?1,U(!(p),q))",900,
f:06-nw:100-ml:14-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",31.65,9
f:05-nw:010-ml:06-0.trace,"|(?1,F(&(p,F(q))))",7.95,8
f:07-nw:400-ml:14-0.trace,G(?1),900,
f:03-nw:010-ml:10-0.trace,"G(->(q,?1))",188.44,7
f:09-nw:050-ml:06-0.trace,"G(->(q,?1))",73.02,6
f:04-nw:400-ml:10-0.trace,F(?1),900,
f:05-nw:100-ml:10-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",15.56,8
f:02-nw:200-ml:14-0.trace,"?b1(F(q),?b2(!(p),q))",52.51,6
f:07-nw:200-ml:06-0.trace,?u1(p),3.36,2
f:08-nw:050-ml:06-0.trace,"?b1(F(q),?b2(p,q))",2.76,5
f:02-nw:010-ml:10-0.trace,"?b1(F(q),?b2(!(p),q))",1.34,6
f:05-nw:400-ml:10-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",61.73,8
f:04-nw:100-ml:10-0.trace,F(?1),900,
f:03-nw:200-ml:14-0.trace,"G(->(q,?1))",900,
f:01-nw:025-ml:10-0.trace,?u1(!(p)),0.97,3
f:06-nw:200-ml:06-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",900,
f:07-nw:025-ml:06-0.trace,?u1(p),0.44,2
f:02-nw:025-ml:14-0.trace,"?b1(F(q),?b2(!(p),q))",6.78,6
f:01-nw:010-ml:14-0.trace,?u1(!(p)),0.67,3
f:02-nw:100-ml:06-0.trace,"->(?1,U(!(p),q))",900,
f:03-nw:400-ml:06-0.trace,"?u1(->(q,?u1(!(p))))",15.15,6
f:07-nw:100-ml:14-0.trace,G(?1),900,
f:04-nw:010-ml:06-0.trace,?u1(p),0.33,2
f:06-nw:400-ml:14-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",120.13,9
f:05-nw:050-ml:06-0.trace,"|(?1,F(&(p,F(q))))",37.73,8
f:08-nw:400-ml:10-0.trace,"->(?1,U(p,q))",900,
f:09-nw:100-ml:10-0.trace,"?u1(->(q,?u1(p)))",7.46,5
f:03-nw:050-ml:10-0.trace,"G(->(q,?1))",760.85,7
f:09-nw:010-ml:06-0.trace,"G(->(q,?1))",14.92,6
f:09-nw:050-ml:14-0.trace,"?u1(->(q,?u1(p)))",5.88,5
f:01-nw:400-ml:10-0.trace,?u1(!(p)),16.25,3
f:06-nw:010-ml:10-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",1.52,9
f:02-nw:200-ml:06-0.trace,"->(?1,U(!(p),q))",900,
f:05-nw:025-ml:10-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",4.2,8
f:07-nw:200-ml:14-0.trace,G(?1),900,
f:06-nw:025-ml:14-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",7.38,9
f:03-nw:025-ml:06-0.trace,"?u1(->(q,?u1(!(p))))",0.99,6
f:04-nw:200-ml:10-0.trace,F(?1),900,
f:02-nw:400-ml:14-0.trace,"?b1(F(q),?b2(!(p),q))",105.92,6
f:03-nw:100-ml:14-0.trace,"G(->(q,?1))",900,
f:07-nw:400-ml:06-0.trace,?u1(p),6.95,2
f:06-nw:100-ml:06-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",900,
f:05-nw:010-ml:14-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",3.22,8
f:08-nw:025-ml:10-0.trace,"->(?1,U(p,q))",900,
f:04-nw:050-ml:14-0.trace,F(?1),900,
f:01-nw:050-ml:06-0.trace,G(!(?1)),900,
f:07-nw:050-ml:10-0.trace,G(?1),900,
f:08-nw:010-ml:14-0.trace,"->(?1,U(p,q))",900,
f:09-nw:200-ml:10-0.trace,"?u1(->(q,?u1(p)))",14.3,5
f:04-nw:050-ml:10-0.trace,?u1(p),1.84,2
f:09-nw:400-ml:06-0.trace,"?u1(->(q,?u1(p)))",15.15,5
f:08-nw:100-ml:06-0.trace,"->(?1,U(p,q))",900,
f:08-nw:025-ml:14-0.trace,"?b1(F(q),?b2(p,q))",7.09,5
f:09-nw:200-ml:14-0.trace,"G(->(q,?1))",900,
f:07-nw:050-ml:14-0.trace,?u1(p),2.9,2
f:02-nw:050-ml:06-0.trace,"?b1(F(q),?b2(!(p),q))",2.86,6
f:08-nw:010-ml:10-0.trace,"?b1(F(q),?b2(p,q))",1.9,5
f:05-nw:025-ml:14-0.trace,"|(?1,F(&(p,F(q))))",71.7,7
f:07-nw:200-ml:10-0.trace,?u1(p),6.67,2
f:01-nw:400-ml:14-0.trace,G(!(?1)),900,
f:09-nw:050-ml:10-0.trace,"G(->(q,?1))",364.96,6
f:03-nw:010-ml:06-0.trace,"G(->(q,?1))",53.07,7
f:04-nw:400-ml:06-0.trace,F(?1),900,
f:06-nw:010-ml:14-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",900,
f:05-nw:100-ml:06-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",7.33,8
f:03-nw:100-ml:10-0.trace,"?u1(->(q,?u1(!(p))))",7.83,6
f:02-nw:400-ml:10-0.trace,"->(?1,U(!(p),q))",900,
f:05-nw:010-ml:10-0.trace,"|(?1,F(&(p,F(q))))",6.55,7
f:01-nw:200-ml:06-0.trace,?u1(!(p)),4.1,3
f:06-nw:025-ml:10-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",900,
f:04-nw:200-ml:14-0.trace,?u1(p),10.9,2
f:09-nw:100-ml:14-0.trace,"G(->(q,?1))",900,
f:08-nw:400-ml:14-0.trace,"?b1(F(q),?b2(p,q))",101.43,5
f:09-nw:025-ml:06-0.trace,"?u1(->(q,?u1(p)))",1.03,5
f:08-nw:200-ml:06-0.trace,"->(?1,U(p,q))",900,
f:06-nw:050-ml:06-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",3.88,9
f:03-nw:050-ml:14-0.trace,"?u1(->(q,?u1(!(p))))",6.18,6
f:03-nw:200-ml:10-0.trace,"?u1(->(q,?u1(!(p))))",15.83,6
f:04-nw:025-ml:06-0.trace,F(?1),900,
f:01-nw:025-ml:14-0.trace,G(!(?1)),900,
f:01-nw:100-ml:06-0.trace,?u1(!(p)),2.08,3
f:02-nw:010-ml:14-0.trace,"->(?1,U(!(p),q))",900,
f:07-nw:010-ml:06-0.trace,G(?1),900,
f:04-nw:100-ml:14-0.trace,?u1(p),5.71,2
f:05-nw:400-ml:14-0.trace,"|(?1,F(&(p,F(q))))",900,
f:01-nw:010-ml:10-0.trace,G(!(?1)),900,
f:06-nw:400-ml:10-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",900,
f:07-nw:100-ml:10-0.trace,?u1(p),3.48,2
f:02-nw:025-ml:10-0.trace,"->(?1,U(!(p),q))",900,
f:05-nw:200-ml:06-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",13.99,8
f:07-nw:400-ml:10-0.trace,?u1(p),13.68,2
f:06-nw:100-ml:10-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",900,
f:01-nw:200-ml:14-0.trace,G(!(?1)),900,
f:03-nw:025-ml:10-0.trace,"?u1(->(q,?u1(!(p))))",2.05,6
