File name,Algo type,Original Formula,Sketch,Total time,Completed sketch,Final size,Verified
f:05-nw:400-ml:14-0.trace,tree-suf-bmc,"|(G(!(p)),F(&(p,F(q))))","|(?1,F(&(p,F(q))))",501.61,"|(G(!(p)),F(&(p,F(q))))",7,TRUE
f:04-nw:100-ml:14-0.trace,tree-suf-bmc,F(p),?u1(p),8.16,F(p),2,TRUE
f:03-nw:050-ml:06-0.trace,tree-suf,"G(->(q,G(!(p))))","G(->(q,?1))",20.46,"G(->(q,!(U(!(p),p))))",4,TRUE
f:09-nw:010-ml:10-0.trace,tree-suf,"G(->(q,G(p)))","G(->(q,?1))",0.50,"G(->(q,p))",4,TRUE
f:06-nw:200-ml:10-0.trace,tree,"G(&(p,->(!(q),U(!(q),&(r,!(q))))))","G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",56.92,"G(&(p,->(!(q),U(!(q),&(r,!(q))))))",13,TRUE
f:09-nw:400-ml:14-0.trace,tree,"G(->(q,G(p)))","G(->(q,?1))",435.77,"G(->(q,G(p)))",4,TRUE
f:06-nw:050-ml:14-0.trace,tree-suf,"G(&(p,->(!(q),U(!(q),&(r,!(q))))))","G(&(p,->(!(q),U(!(q),?1))))",18.18,"G(&(p,->(!(q),U(!(q),p))))",10,TRUE
f:08-nw:100-ml:06-0.trace,tree,"->(F(q),U(p,q))","?b1(F(q),?b2(p,q))",9.43,"->(F(q),U(p,q))",6,TRUE
f:02-nw:010-ml:10-0.trace,tree,"->(F(q),U(!(p),q))","?b1(F(q),?b2(!(p),q))",2.44,"->(F(q),&(!(p),q))",7,TRUE
f:04-nw:010-ml:14-0.trace,tree-suf-bmc,F(p),F(?1),0.20,F(p),2,TRUE
f:04-nw:400-ml:10-0.trace,tree,F(p),F(?1),67.95,F(p),2,TRUE
f:01-nw:025-ml:10-0.trace,tree,G(!(p)),G(!(?1)),0.69,G(!(p)),3,TRUE
f:02-nw:100-ml:14-0.trace,tree-suf-bmc,"->(F(q),U(!(p),q))","->(?1,?b1(!(p),q))",39.85,"->(F(q),U(!(p),q))",6,TRUE
f:04-nw:025-ml:14-0.trace,tree-bmc,F(p),?u1(?1),1.38,F(p),2,TRUE
f:08-nw:050-ml:06-0.trace,tree,"->(F(q),U(p,q))","->(?1,?b1(p,q))",6.49,"->(F(q),&(p,q))",5,TRUE
f:06-nw:100-ml:06-0.trace,tree-suf,"G(&(p,->(!(q),U(!(q),&(r,!(q))))))","G(&(p,?b1(!(q),?1)))",29.80,"G(&(p,->(!(q),U(p,r))))",7,TRUE
f:03-nw:100-ml:14-0.trace,tree-suf,"G(->(q,G(!(p))))","?u1(->(q,?1))",107.55,"G(->(q,!(F(p))))",4,TRUE
f:01-nw:025-ml:06-0.trace,tree-bmc,G(!(p)),?u1(!(?1)),0.67,G(!(p)),3,TRUE
f:08-nw:050-ml:10-0.trace,tree-bmc,"->(F(q),U(p,q))","->(?1,?b1(p,q))",10.92,"->(F(q),&(p,q))",5,TRUE
