File,Sketch,Time-naive,Size-naive,Time-tree,Size-tree,Time-tree_bmc,Size-tree_bmc,Time-tree_suf,Size-tree_suf,Time-tree_suf_bmc,Size-tree_suf_bmc
f:07-nw:025-ml:14-0.trace,G(?1),900,,1.05,2,0.78,2,0.82,2,0.60,2
f:02-nw:025-ml:06-0.trace,"->(?1,U(!(p),q))",900,,2.34,6,2.03,6,1.86,6,1.33,6
f:03-nw:400-ml:14-0.trace,"G(->(q,?1))",900,,753.61,4,582.23,4,590.65,4,482.02,4
f:01-nw:010-ml:06-0.trace,G(!(?1)),900,,0.16,3,0.16,3,0.12,3,0.10,3
f:06-nw:400-ml:06-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",900,,75.97,10,71.79,10,77.18,10,59.00,10
f:04-nw:010-ml:14-0.trace,F(?1),900,,0.31,2,0.23,2,0.29,2,0.21,2
f:08-nw:050-ml:14-0.trace,"->(?1,U(p,q))",900,,24.63,5,13.6,5,21.73,5,12.80,5
f:07-nw:010-ml:10-0.trace,G(?1),900,,0.22,2,0.18,2,0.17,2,0.14,2
f:04-nw:025-ml:10-0.trace,F(?1),900,,0.61,2,0.51,2,0.44,2,0.35,2
f:08-nw:100-ml:10-0.trace,"->(?1,U(p,q))",900,,31.52,5,22.86,5,24.54,5,18.11,5
f:06-nw:025-ml:06-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",900,,1.86,10,1.44,10,1.53,10,1.22,10
f:03-nw:025-ml:14-0.trace,"G(->(q,?1))",900,,23.8,4,13.65,4,22.91,4,13.30,4
f:02-nw:400-ml:06-0.trace,"->(?1,U(!(p),q))",900,,72.07,6,66.24,6,51.18,6,45.84,6
f:05-nw:010-ml:06-0.trace,"|(?1,F(&(p,F(q))))",7.95,8,1.08,7,0.93,7,0.86,7,0.77,7
f:07-nw:400-ml:14-0.trace,G(?1),900,,120.06,2,119.01,2,93.98,2,93.47,2
f:03-nw:010-ml:10-0.trace,"G(->(q,?1))",188.44,7,1.77,4,1.32,4,1.86,4,1.39,4
f:09-nw:050-ml:06-0.trace,"G(->(q,?1))",73.02,6,3.97,4,3.66,4,2.68,4,2.64,4
f:04-nw:400-ml:10-0.trace,F(?1),900,,67.95,2,69.37,2,43.84,2,43.35,2
f:04-nw:100-ml:10-0.trace,F(?1),900,,5.04,2,4.73,2,3.06,2,2.84,2
f:03-nw:200-ml:14-0.trace,"G(->(q,?1))",900,,310.69,4,190.18,4,233.71,4,153.27,4
f:06-nw:200-ml:06-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",900,,25.93,10,23.93,10,21.21,10,19.12,10
f:02-nw:100-ml:06-0.trace,"->(?1,U(!(p),q))",900,,12.52,6,10.76,6,7.41,6,6.12,6
f:07-nw:100-ml:14-0.trace,G(?1),900,,8.96,2,8.03,2,6.94,2,6.33,2
f:05-nw:050-ml:06-0.trace,"|(?1,F(&(p,F(q))))",37.73,8,5.64,7,5.06,7,3.71,7,3.21,7
f:08-nw:400-ml:10-0.trace,"->(?1,U(p,q))",900,,190.19,5,167.7,5,166.58,5,136.47,5
f:03-nw:050-ml:10-0.trace,"G(->(q,?1))",760.85,7,26.9,4,19.87,4,22.31,4,16.04,4
f:09-nw:010-ml:06-0.trace,"G(->(q,?1))",14.92,6,0.26,4,0.27,4,0.22,4,0.20,4
f:02-nw:200-ml:06-0.trace,"->(?1,U(!(p),q))",900,,30.53,6,26.87,6,21.11,6,17.96,6
f:07-nw:200-ml:14-0.trace,G(?1),900,,32.52,2,29.94,2,24.62,2,23.03,2
f:04-nw:200-ml:10-0.trace,F(?1),900,,18.25,2,17.79,2,11.80,2,10.86,2
f:03-nw:100-ml:14-0.trace,"G(->(q,?1))",900,,118.47,4,75.96,4,109.17,4,64.33,4
f:06-nw:100-ml:06-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",900,,9.64,10,8.6,10,8.02,10,6.71,10
f:08-nw:025-ml:10-0.trace,"->(?1,U(p,q))",900,,5.98,5,4.1,5,5.45,5,3.30,5
f:04-nw:050-ml:14-0.trace,F(?1),900,,2.72,2,2.4,2,2.23,2,1.88,2
f:01-nw:050-ml:06-0.trace,G(!(?1)),900,,1.09,3,1.02,3,0.43,3,0.40,3
f:07-nw:050-ml:10-0.trace,G(?1),900,,1.49,2,1.36,2,0.87,2,0.76,2
f:08-nw:010-ml:14-0.trace,"->(?1,U(p,q))",900,,4.03,5,2,5,3.82,5,1.82,5
f:08-nw:100-ml:06-0.trace,"->(?1,U(p,q))",900,,11.79,5,10.19,5,7.35,5,6.35,5
f:09-nw:200-ml:14-0.trace,"G(->(q,?1))",900,,133.56,4,113.49,4,117.25,4,99.17,4
f:05-nw:025-ml:14-0.trace,"|(?1,F(&(p,F(q))))",71.7,7,9.73,7,6.65,7,8.87,7,6.41,7
f:01-nw:400-ml:14-0.trace,G(!(?1)),900,,121.32,3,120.14,3,96.42,3,97.11,3
f:09-nw:050-ml:10-0.trace,"G(->(q,?1))",364.96,6,4.33,4,3.91,4,3.85,4,3.39,4
f:03-nw:010-ml:06-0.trace,"G(->(q,?1))",53.07,7,0.95,4,0.81,4,0.89,4,0.68,4
f:04-nw:400-ml:06-0.trace,F(?1),900,,43.72,2,43.66,2,16.07,2,15.60,2
f:06-nw:010-ml:14-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",900,,3.07,10,1.48,10,2.90,10,1.40,10
f:02-nw:400-ml:10-0.trace,"->(?1,U(!(p),q))",900,,183.72,6,157.27,6,158.95,6,136.80,6
f:05-nw:010-ml:10-0.trace,"|(?1,F(&(p,F(q))))",6.55,7,2.21,7,1.61,7,1.86,7,1.38,7
f:06-nw:025-ml:10-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",900,,4.01,10,2.59,10,3.84,10,2.47,10
f:09-nw:100-ml:14-0.trace,"G(->(q,?1))",900,,48.83,4,38.1,4,42.08,4,34.26,4
f:08-nw:200-ml:06-0.trace,"->(?1,U(p,q))",900,,29.06,5,26.8,5,21.03,5,18.42,5
f:04-nw:025-ml:06-0.trace,F(?1),900,,0.36,2,0.34,2,0.19,2,0.17,2
f:01-nw:025-ml:14-0.trace,G(!(?1)),900,,1.06,3,0.9,3,0.86,3,0.69,3
f:02-nw:010-ml:14-0.trace,"->(?1,U(!(p),q))",900,,4.18,6,2.1,6,4.46,6,2.04,6
f:07-nw:010-ml:06-0.trace,G(?1),900,,0.13,2,0.12,2,0.09,2,0.09,2
f:05-nw:400-ml:14-0.trace,"|(?1,F(&(p,F(q))))",900,,900,0,602.57,7,688.42,7,456.51,7
f:01-nw:010-ml:10-0.trace,G(!(?1)),900,,0.24,3,0.21,3,0.19,3,0.16,3
f:06-nw:400-ml:10-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",900,,216.1,10,187.51,10,195.78,10,171.39,10
f:02-nw:025-ml:10-0.trace,"->(?1,U(!(p),q))",900,,5.61,6,3.85,6,5.10,6,3.36,6
f:06-nw:100-ml:10-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",900,,23.87,10,17.55,10,21.88,10,16.06,10
f:01-nw:200-ml:14-0.trace,G(!(?1)),900,,32.87,3,32.54,3,25.63,3,24.76,3
f:04-nw:200-ml:06-0.trace,F(?1),900,,11.8,2,11.72,2,4.20,2,4.05,2
f:02-nw:200-ml:10-0.trace,"->(?1,U(!(p),q))",900,,79.11,6,64.61,6,67.39,6,52.56,6
f:05-nw:100-ml:14-0.trace,"|(?1,F(&(p,F(q))))",900,,51.43,7,43.62,7,45.21,7,35.76,7
f:07-nw:050-ml:06-0.trace,G(?1),900,,1,2,1.2,2,0.40,2,0.38,2
f:02-nw:050-ml:14-0.trace,"->(?1,U(!(p),q))",900,,24.23,6,14.33,6,21.77,6,12.65,6
f:01-nw:050-ml:10-0.trace,G(!(?1)),900,,1.81,3,1.64,3,1.14,3,1.01,3
f:09-nw:400-ml:14-0.trace,"G(->(q,?1))",900,,435.77,4,416.33,4,393.56,4,357.59,4
f:08-nw:025-ml:06-0.trace,"->(?1,U(p,q))",900,,2.38,5,1.98,5,1.62,5,1.27,5
f:02-nw:100-ml:10-0.trace,"->(?1,U(!(p),q))",900,,29.99,6,22.35,6,23.44,6,17.51,6
f:05-nw:200-ml:14-0.trace,"|(?1,F(&(p,F(q))))",900,,152.24,7,127.16,7,126.01,7,108.16,7
f:06-nw:200-ml:10-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",900,,71.83,10,58.41,10,62.17,10,52.21,10
f:01-nw:100-ml:14-0.trace,G(!(?1)),900,,9.65,3,9.05,3,7.43,3,6.71,3
f:04-nw:100-ml:06-0.trace,F(?1),900,,3.26,2,3.17,2,1.12,2,1.05,2
f:06-nw:050-ml:14-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",900,,20.27,10,12,10,19.20,10,10.55,10
f:09-nw:010-ml:10-0.trace,"G(->(q,?1))",68.28,6,0.54,4,0.46,4,0.50,4,0.43,4
f:03-nw:050-ml:06-0.trace,"G(->(q,?1))",224.89,7,12.09,4,10.67,4,7.40,4,6.31,4
f:05-nw:050-ml:10-0.trace,"|(?1,F(&(p,F(q))))",155.45,7,12.03,7,9.52,7,9.58,7,7.56,7
f:08-nw:400-ml:06-0.trace,"->(?1,U(p,q))",900,,73.32,5,66.25,5,52.42,5,45.49,5
f:09-nw:025-ml:14-0.trace,"G(->(q,?1))",417.98,6,2.83,4,2.35,4,2.57,4,2.14,4
f:07-nw:100-ml:10-0.trace,G(?1),900,,4.7,2,4.57,2,2.85,2,2.63,2
f:05-nw:200-ml:06-0.trace,"|(?1,F(&(p,F(q))))",490.1,8,30.65,7,28.27,7,19.45,7,18.60,7
f:03-nw:200-ml:10-0.trace,"G(->(q,?1))",900,,148.63,4,114.92,4,103.75,4,84.15,4
f:01-nw:100-ml:06-0.trace,G(!(?1)),900,,3.23,3,3.14,3,1.27,3,1.17,3
f:04-nw:100-ml:14-0.trace,F(?1),900,,9.21,2,8.18,2,7.04,2,6.44,2
f:06-nw:050-ml:06-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",900,,3.98,10,3.44,10,3.30,10,2.79,10
f:03-nw:050-ml:14-0.trace,"G(->(q,?1))",900,,54.73,4,31.09,4,49.41,4,28.91,4
f:08-nw:400-ml:14-0.trace,"->(?1,U(p,q))",900,,402,5,317.44,5,371.45,5,300.05,5
f:09-nw:025-ml:06-0.trace,"G(->(q,?1))",40.96,6,1.83,4,1.71,4,1.40,4,1.28,4
f:03-nw:100-ml:10-0.trace,"G(->(q,?1))",900,,59.39,4,46.14,4,49.04,4,34.18,4
f:01-nw:200-ml:06-0.trace,G(!(?1)),900,,11.42,3,11.16,3,4.07,3,4.00,3
f:04-nw:200-ml:14-0.trace,F(?1),900,,32.59,2,31.2,2,25.81,2,24.21,2
f:07-nw:200-ml:10-0.trace,G(?1),900,,16.8,2,16.19,2,9.81,2,9.20,2
f:05-nw:100-ml:06-0.trace,"|(?1,F(&(p,F(q))))",106.01,8,13.37,7,11.43,7,8.71,7,7.66,7
f:07-nw:050-ml:14-0.trace,G(?1),900,,2.76,2,2.39,2,2.06,2,1.73,2
f:08-nw:010-ml:10-0.trace,"->(?1,U(p,q))",900,,2.46,5,1.42,5,2.12,5,1.27,5
f:02-nw:050-ml:06-0.trace,"->(?1,U(!(p),q))",900,,5.48,6,5.08,6,3.70,6,3.02,6
f:04-nw:050-ml:10-0.trace,F(?1),900,,1.53,2,1.43,2,1.03,2,0.90,2
f:09-nw:400-ml:06-0.trace,"G(->(q,?1))",900,,77.89,4,75.47,4,57.22,4,56.19,4
f:08-nw:025-ml:14-0.trace,"->(?1,U(p,q))",900,,10.95,5,5.73,5,10.00,5,5.37,5
f:09-nw:100-ml:06-0.trace,"G(->(q,?1))",186.05,6,9.36,4,8.81,4,6.51,4,5.53,4
f:08-nw:200-ml:14-0.trace,"->(?1,U(p,q))",900,,163.63,5,124.62,5,150.65,5,109.28,5
f:04-nw:025-ml:14-0.trace,F(?1),900,,0.91,2,0.74,2,0.79,2,0.60,2
f:01-nw:025-ml:06-0.trace,G(!(?1)),900,,0.42,3,0.38,3,0.21,3,0.19,3
f:08-nw:050-ml:10-0.trace,"->(?1,U(p,q))",900,,12.83,5,8.92,5,10.62,5,7.43,5
f:02-nw:010-ml:06-0.trace,"->(?1,U(!(p),q))",900,,0.9,6,0.78,6,0.78,6,0.58,6
f:05-nw:400-ml:06-0.trace,"|(?1,F(&(p,F(q))))",900,,160.23,7,144.4,7,88.44,7,81.08,7
f:07-nw:010-ml:14-0.trace,G(?1),900,,0.32,2,0.25,2,0.35,2,0.21,2
f:03-nw:400-ml:10-0.trace,"G(->(q,?1))",900,,399.06,4,307.59,4,277.79,4,227.29,4
f:04-nw:010-ml:10-0.trace,F(?1),900,,0.22,2,0.18,2,0.17,2,0.14,2
f:07-nw:025-ml:10-0.trace,G(?1),900,,0.58,2,0.49,2,0.39,2,0.32,2
f:08-nw:100-ml:14-0.trace,"->(?1,U(p,q))",900,,59.67,5,38.73,5,53.18,5,34.67,5
f:09-nw:200-ml:06-0.trace,"G(->(q,?1))",580.21,6,26.55,4,25.24,4,17.80,4,17.01,4
f:05-nw:025-ml:06-0.trace,"|(?1,F(&(p,F(q))))",18.11,7,2.64,7,2.35,7,1.93,7,1.71,7
f:03-nw:010-ml:14-0.trace,"G(->(q,?1))",437.66,7,2.7,4,1.78,4,2.56,4,1.64,4
f:01-nw:400-ml:06-0.trace,G(!(?1)),900,,41.13,3,43.43,3,14.18,3,14.43,3
f:06-nw:010-ml:06-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",900,,0.76,10,0.59,10,0.69,10,0.56,10
f:04-nw:400-ml:14-0.trace,F(?1),900,,119.37,2,116.04,2,95.98,2,95.30,2
f:07-nw:400-ml:10-0.trace,G(?1),900,,65.8,2,62.89,2,40.95,2,38.73,2
f:03-nw:025-ml:10-0.trace,"G(->(q,?1))",900,,13.87,4,9.44,4,11.07,4,7.71,4
