File,Sketch,Time-naive,Size-naive,Time-tree,Size-tree,Time-tree_bmc,Size-tree_bmc,Time-tree_suf,Size-tree_suf,Time-tree_suf_bmc,Size-tree_suf_bmc
f:05-nw:100-ml:10-0.trace,"|(?1,F(&(p,F(q))))",606.68,8,27.51,7,23.54,7,21.39,7,17.81,7
f:02-nw:200-ml:14-0.trace,"->(?1,U(!(p),q))",900,,168.75,6,123.98,6,144.07,6,107.59,6
f:07-nw:200-ml:06-0.trace,G(?1),900,,11.72,2,11.52,2,4.12,2,3.95,2
f:01-nw:200-ml:10-0.trace,G(!(?1)),900,,19.68,3,19.09,3,11.72,3,11.46,3
f:03-nw:100-ml:06-0.trace,"G(->(q,?1))",363.32,7,25.75,4,22.66,4,16.10,4,13.05,4
f:06-nw:100-ml:14-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",900,,52.12,10,34.81,10,47.71,10,32.46,10
f:04-nw:050-ml:06-0.trace,F(?1),900,,1.04,2,0.99,2,0.42,2,0.39,2
f:09-nw:400-ml:10-0.trace,"G(->(q,?1))",900,,212.58,4,204.01,4,181.20,4,170.88,4
f:01-nw:050-ml:14-0.trace,G(!(?1)),900,,3.15,3,2.53,3,2.27,3,1.88,3
f:02-nw:050-ml:10-0.trace,"->(?1,U(!(p),q))",900,,11.74,6,8.69,6,10.31,6,7.03,6
f:08-nw:010-ml:06-0.trace,"->(?1,U(p,q))",900,,1.02,5,0.82,5,0.81,5,0.62,5
f:01-nw:100-ml:10-0.trace,G(!(?1)),900,,5.62,3,5.22,3,3.51,3,3.25,3
f:03-nw:200-ml:06-0.trace,"G(->(q,?1))",900,,58.2,4,51.68,4,34.56,4,28.96,4
f:06-nw:200-ml:14-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",900,,144.13,10,117.17,10,135.04,10,104.52,10
f:05-nw:200-ml:10-0.trace,"|(?1,F(&(p,F(q))))",900,,73.74,7,64.48,7,59.07,7,52.16,7
f:02-nw:100-ml:14-0.trace,"->(?1,U(!(p),q))",900,,59.83,6,40.62,6,55.77,6,35.85,6
f:07-nw:100-ml:06-0.trace,G(?1),900,,3.11,2,3.04,2,1.27,2,1.21,2
f:09-nw:025-ml:10-0.trace,"G(->(q,?1))",900,,1.76,4,1.41,4,1.40,4,1.23,4
f:05-nw:050-ml:14-0.trace,"|(?1,F(&(p,F(q))))",365.19,7,22.11,7,15.7,7,19.10,7,13.50,7
f:06-nw:050-ml:10-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",900,,9.11,10,6.41,10,8.34,10,6.17,10
f:09-nw:010-ml:14-0.trace,"G(->(q,?1))",179.13,6,0.85,4,0.68,4,0.84,4,0.66,4
f:09-nw:200-ml:10-0.trace,"G(->(q,?1))",900,,67.62,4,63.49,4,56.05,4,48.58,4
f:06-nw:025-ml:14-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",900,,8.62,10,4.39,10,8.25,10,4.34,10
f:03-nw:025-ml:06-0.trace,"G(->(q,?1))",110.42,7,5.6,4,5.02,4,3.77,4,3.21,4
f:02-nw:400-ml:14-0.trace,"->(?1,U(!(p),q))",900,,398.97,6,323.72,6,349.57,6,290.47,6
f:07-nw:400-ml:06-0.trace,G(?1),900,,43.92,2,43.94,2,15.61,2,14.72,2
f:05-nw:010-ml:14-0.trace,"|(?1,F(&(p,F(q))))",17.11,7,3.42,7,2.31,7,3.13,7,2.06,7
f:09-nw:050-ml:14-0.trace,"G(->(q,?1))",900,,7.93,4,7.41,4,7.42,4,7.04,4
f:01-nw:400-ml:10-0.trace,G(!(?1)),900,,71.23,3,69.18,3,44.62,3,44.88,3
f:06-nw:010-ml:10-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",900,,1.5,10,0.94,10,1.46,10,0.88,10
f:05-nw:025-ml:10-0.trace,"|(?1,F(&(p,F(q))))",62.66,8,5.47,7,4.14,7,4.38,7,3.45,7
f:09-nw:100-ml:10-0.trace,"G(->(q,?1))",900,,23.95,4,20.66,4,19.99,4,16.43,4
f:07-nw:025-ml:06-0.trace,G(?1),900,,0.34,2,0.32,2,0.17,2,0.16,2
f:02-nw:025-ml:14-0.trace,"->(?1,U(!(p),q))",900,,10.92,6,6.1,6,10.80,6,5.76,6
f:01-nw:010-ml:14-0.trace,G(!(?1)),900,,0.38,3,0.29,3,0.37,3,0.26,3
f:03-nw:400-ml:06-0.trace,"G(->(q,?1))",900,,136.99,4,121.91,4,87.04,4,77.67,4
f:04-nw:010-ml:06-0.trace,F(?1),900,,0.15,2,0.13,2,0.10,2,0.10,2
f:06-nw:400-ml:14-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",900,,466.23,10,396.42,10,473.19,10,359.66,10
f:02-nw:010-ml:10-0.trace,"->(?1,U(!(p),q))",900,,2.2,6,1.42,6,1.92,6,1.22,6
f:08-nw:050-ml:06-0.trace,"->(?1,U(p,q))",900,,5.23,5,4.35,5,3.08,5,2.59,5
f:05-nw:400-ml:10-0.trace,"|(?1,F(&(p,F(q))))",900,,409.24,7,311.85,7,263.87,7,215.95,7
f:01-nw:025-ml:10-0.trace,G(!(?1)),900,,0.69,3,0.6,3,0.45,3,0.38,3
f:08-nw:200-ml:10-0.trace,"->(?1,U(p,q))",900,,83.64,5,63.92,5,70.64,5,54.10,5
