File,Sketch,Time-tree_suf,Size-tree_suf
f:09-nw:200-ml:14-0.trace,"?u1(->(q,?u1(p)))",107.36,5
f:09-nw:100-ml:06-0.trace,"G(->(q,?1))",6.51,4
f:08-nw:100-ml:06-0.trace,"?b1(F(q),?b2(p,q))",7.73,6
f:06-nw:400-ml:10-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",195.78,10
f:03-nw:025-ml:10-0.trace,"?u1(->(q,?u1(!(p))))",3.57,6
f:01-nw:010-ml:10-0.trace,G(!(?1)),0.19,3
f:02-nw:025-ml:10-0.trace,"->(?1,U(!(p),q))",5.10,6
f:07-nw:400-ml:10-0.trace,?u1(p),43.59,2
f:03-nw:010-ml:14-0.trace,"?u1(->(q,?u1(!(p))))",2.10,6
f:01-nw:025-ml:14-0.trace,G(!(?1)),0.86,3
f:01-nw:400-ml:06-0.trace,?u1(!(p)),15.86,3
f:06-nw:010-ml:06-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",1.52,13
f:04-nw:400-ml:14-0.trace,?u1(p),105.83,2
f:04-nw:025-ml:06-0.trace,F(?1),0.19,2
f:07-nw:010-ml:06-0.trace,G(?1),0.09,2
f:05-nw:400-ml:14-0.trace,"|(?1,F(&(p,F(q))))",688.42,7
f:05-nw:025-ml:06-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",2.56,9
f:02-nw:010-ml:14-0.trace,"->(?1,U(!(p),q))",4.46,6
f:08-nw:200-ml:06-0.trace,"->(?1,U(p,q))",21.03,5
f:09-nw:200-ml:06-0.trace,"?u1(->(q,?u1(p)))",17.44,5
f:09-nw:100-ml:14-0.trace,"G(->(q,?1))",42.08,4
f:08-nw:100-ml:14-0.trace,"?b1(F(q),?b2(p,q))",58.80,6
f:05-nw:010-ml:10-0.trace,"|(?1,F(&(p,F(q))))",1.86,7
f:07-nw:025-ml:10-0.trace,?u1(p),0.70,2
f:02-nw:400-ml:10-0.trace,"->(?1,U(!(p),q))",158.95,6
f:03-nw:400-ml:10-0.trace,"?u1(->(q,?u1(!(p))))",179.05,6
f:04-nw:010-ml:10-0.trace,?u1(p),0.35,2
f:06-nw:025-ml:10-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",3.84,10
f:08-nw:050-ml:10-0.trace,"?b1(F(q),?b2(p,q))",11.82,6
