File,Sketch,Time-naive,Size-naive,Time-tree,Size-tree,Time-tree_bmc,Size-tree_bmc,Time-tree_suf,Size-tree_suf,Time-tree_suf_bmc,Size-tree_suf_bmc
f:05-nw:050-ml:14-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",15.84,8,28.55,9,12.19,9,29.83,9,14.62,9
f:05-nw:200-ml:10-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",32.2,8,56.42,9,31.41,9,74.55,9,56.45,9
f:02-nw:100-ml:14-0.trace,"?b1(F(q),?b2(!(p),q))",25.95,6,48.78,7,19.43,7,59.53,7,35.01,7
f:07-nw:100-ml:06-0.trace,?u1(p),1.66,2,1.73,2,1.52,2,1.61,2,1.59,2
f:01-nw:100-ml:10-0.trace,?u1(!(p)),3.76,3,3.84,3,3.04,3,4.48,3,4.02,3
f:03-nw:200-ml:06-0.trace,"?u1(->(q,?u1(!(p))))",8.09,6,13.86,6,12.15,6,17.38,6,16.38,6
f:06-nw:200-ml:14-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",57.64,9,111.65,13,54.43,13,185.31,13,130.59,13
f:08-nw:010-ml:06-0.trace,"?b1(F(q),?b2(p,q))",0.8,5,1.03,6,0.8,6,0.88,6,0.66,6
f:02-nw:050-ml:10-0.trace,"?b1(F(q),?b2(!(p),q))",6.33,6,10.84,7,6.87,7,11.06,7,7.56,7
f:04-nw:050-ml:06-0.trace,?u1(p),0.89,2,0.91,2,0.84,2,0.71,2,0.58,2
f:09-nw:400-ml:10-0.trace,"?u1(->(q,?u1(p)))",29.25,5,51.42,5,41.24,5,178.79,5,173.51,5
f:01-nw:050-ml:14-0.trace,?u1(!(p)),3.34,3,3.11,3,2.14,3,3.70,3,2.79,3
f:01-nw:200-ml:10-0.trace,?u1(!(p)),7.92,3,7.5,3,5.8,3,13.90,3,12.73,3
f:03-nw:100-ml:06-0.trace,"?u1(->(q,?u1(!(p))))",3.93,6,6.7,6,6.12,6,6.41,6,5.78,6
f:06-nw:100-ml:14-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",31.65,9,56.55,13,26.7,13,78.56,13,44.65,13
f:05-nw:100-ml:10-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",15.56,8,26.72,9,15.68,9,28.59,9,19.56,9
f:02-nw:200-ml:14-0.trace,"?b1(F(q),?b2(!(p),q))",52.51,6,98.21,7,40.99,7,162.89,7,109.12,7
f:07-nw:200-ml:06-0.trace,?u1(p),3.36,2,3.44,2,2.9,2,4.86,2,4.68,2
f:08-nw:050-ml:06-0.trace,"?b1(F(q),?b2(p,q))",2.76,5,4.75,6,3.69,6,3.58,6,2.83,6
f:02-nw:010-ml:10-0.trace,"?b1(F(q),?b2(!(p),q))",1.34,6,2.44,7,1.37,7,2.38,7,1.38,7
f:05-nw:400-ml:10-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",61.73,8,104.51,9,60.04,9,201.47,9,172.19,9
f:01-nw:025-ml:10-0.trace,?u1(!(p)),0.97,3,0.94,3,0.78,3,0.80,3,0.69,3
f:07-nw:025-ml:06-0.trace,?u1(p),0.44,2,0.47,2,0.43,2,0.28,2,0.27,2
f:02-nw:025-ml:14-0.trace,"?b1(F(q),?b2(!(p),q))",6.78,6,11.98,7,5.01,7,12.63,7,5.82,7
f:01-nw:010-ml:14-0.trace,?u1(!(p)),0.67,3,0.65,3,0.47,3,0.63,3,0.48,3
f:03-nw:400-ml:06-0.trace,"?u1(->(q,?u1(!(p))))",15.15,6,26.8,6,24.27,6,54.24,6,52.25,6
f:04-nw:010-ml:06-0.trace,?u1(p),0.33,2,0.25,2,0.22,2,0.18,2,0.16,2
